gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_000152525.1_ASM15252v1_genomic_CDS_0001	CH482383.1	78	1553	+	GCA_000152525.1_ASM15252v1_genomic_CDS_0001	1	shell	0	2	8
GCA_000152525.1_ASM15252v1_genomic_CDS_0002	CH482383.1	1707	4250	-	GCA_001465445.1_ADP0v1_genomic_CDS_3171	1	shell	1	2	6
GCA_000152525.1_ASM15252v1_genomic_CDS_0003	CH482383.1	4373	5014	-	GCA_001036075.1_ASM103607v1_genomic_CDS_1765	1	shell	1	4	10
GCA_000152525.1_ASM15252v1_genomic_CDS_0004	CH482383.1	5181	5381	-	GCA_002255825.1_ASM225582v1_genomic_CDS_0573	1	persistent	1	8	31
GCA_000152525.1_ASM15252v1_genomic_CDS_0005	CH482383.1	5389	5883	-	GCA_000987945.1_ASM98794v1_genomic_CDS_0720	1	shell	1	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0006	CH482383.1	6198	6758	+	GCA_000258285.1_ASM25828v1_genomic_CDS_1367	1	shell	1	1	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0007	CH482383.1	6878	7498	-	GCA_000258285.1_ASM25828v1_genomic_CDS_1366	1	persistent	2	3	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0008	CH482383.1	7581	7898	-	GCA_000705215.1_RH_utaHolly_4_genomic_CDS_3825	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0009	CH482383.1	7898	8371	-	GCA_001921095.1_TRN6622_genomic_CDS_4501	1	shell	1	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0010	CH482383.1	8374	8871	-	GCA_001921095.1_TRN6622_genomic_CDS_4502	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0011	CH482383.1	9002	9634	+	GCA_001921095.1_TRN6622_genomic_CDS_4503	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0012	CH482383.1	9750	10049	+	GCA_000531435.1_PA38182_genomic_CDS_1090	1	shell	0	3	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0013	CH482383.1	10042	10851	+	GCA_000987945.1_ASM98794v1_genomic_CDS_0728	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0014	CH482383.1	10890	11354	-	GCA_000496325.1_MDRPA05_genomic_CDS_2365	1	shell	1	1	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0015	CH482383.1	11484	13628	+	GCA_002208585.1_ASM220858v1_genomic_CDS_5752	1	persistent	0	6	32
