gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_000275925.1_ASM27592v1_genomic_CDS_0001	AJXH01000001.1	63	761	+	GCA_001269555.1_ASM126955v1_genomic_CDS_2565	1	shell	0	4	8
GCA_000275925.1_ASM27592v1_genomic_CDS_0002	AJXH01000001.1	758	2761	+	GCA_000285355.1_ASM28535v1_genomic_CDS_0342	1	shell	0	4	3
GCA_000275925.1_ASM27592v1_genomic_CDS_0003	AJXH01000001.1	2761	3645	+	GCA_000801855.1_PfAU11518_genomic_CDS_4114	1	shell	0	2	7
GCA_000275925.1_ASM27592v1_genomic_CDS_0004	AJXH01000001.1	3642	5297	+	GCA_000801855.1_PfAU11518_genomic_CDS_4115	1	shell	0	2	1
GCA_000275925.1_ASM27592v1_genomic_CDS_0005	AJXH01000001.1	5294	5641	+	GCA_000801855.1_PfAU11518_genomic_CDS_4116	1	shell	0	2	5
GCA_000275925.1_ASM27592v1_genomic_CDS_0006	AJXH01000001.1	5638	6039	+	GCA_000801855.1_PfAU11518_genomic_CDS_4117	1	shell	0	2	1
GCA_000275925.1_ASM27592v1_genomic_CDS_0007	AJXH01000001.1	6036	7415	+	GCA_001400935.1_PreICMP16945_genomic_CDS_4618	1	shell	0	4	16
GCA_000275925.1_ASM27592v1_genomic_CDS_0008	AJXH01000001.1	7419	9044	+	GCA_002255865.1_ASM225586v1_genomic_CDS_5664	1	shell	0	2	4
GCA_000275925.1_ASM27592v1_genomic_CDS_0009	AJXH01000001.1	9218	9928	+	GCA_001641345.1_ASM164134v1_genomic_CDS_1845	1	shell	0	2	4
GCA_000275925.1_ASM27592v1_genomic_CDS_0010	AJXH01000001.1	10070	11173	+	GCA_001641345.1_ASM164134v1_genomic_CDS_1844	1	shell	0	2	5
GCA_000275925.1_ASM27592v1_genomic_CDS_0011	AJXH01000001.1	11177	12328	+	GCA_000467065.1_ASM46706v1_genomic_CDS_1733	1	shell	0	4	20
GCA_000275925.1_ASM27592v1_genomic_CDS_0012	AJXH01000001.1	12481	13254	-	GCA_000285955.1_ASM28595v1_genomic_CDS_4199	1	shell	2	5	8
GCA_000275925.1_ASM27592v1_genomic_CDS_0013	AJXH01000001.1	13266	14393	-	GCA_001705955.1_ASM170595v1_genomic_CDS_1216	1	persistent	2	3	14
GCA_000275925.1_ASM27592v1_genomic_CDS_0014	AJXH01000001.1	14403	15587	-	GCA_001401055.1_PsoICMP16925_genomic_CDS_4459	1	shell	1	3	7
GCA_000275925.1_ASM27592v1_genomic_CDS_0015	AJXH01000001.1	15600	16367	-	GCA_002237665.1_ASM223766v1_genomic_CDS_4786	1	shell	0	4	8
GCA_000275925.1_ASM27592v1_genomic_CDS_0016	AJXH01000001.1	16568	17461	+	GCA_002263675.1_ASM226367v1_genomic_CDS_4862	1	shell	0	4	2
GCA_000275925.1_ASM27592v1_genomic_CDS_0017	AJXH01000001.1	17532	18590	+	GCA_001641325.1_ASM164132v1_genomic_CDS_3181	1	shell	0	2	1
